2025-03-27 23:48:53,021 - Node-3 - INFO - Initializing node 3
2025-03-27 23:51:21,317 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:21,322 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:21,328 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:21,614 - Node-3 - INFO - Starting election for term 1329
2025-03-27 23:51:21,890 - Node-3 - INFO - Starting election for term 1330
2025-03-27 23:51:22,225 - Node-3 - INFO - Starting election for term 1331
2025-03-27 23:51:22,374 - Node-3 - INFO - GET request for key 'a', state machine has keys: ['color', 'fruit', 'status', '_find_leader', 'temperature', 'car', 'phone', 'horse', 'money', 'ppl', 'a', 'b']
2025-03-27 23:51:22,810 - Node-3 - INFO - Starting election for term 1332
2025-03-27 23:51:23,340 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:23,354 - Node-3 - INFO - Granted vote to node 4 for term 1333
2025-03-27 23:51:23,361 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:23,367 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:23,636 - Node-3 - INFO - Granted vote to node 4 for term 1334
2025-03-27 23:51:23,922 - Node-3 - INFO - Starting election for term 1335
2025-03-27 23:51:24,209 - Node-3 - INFO - Starting election for term 1336
2025-03-27 23:51:24,543 - Node-3 - INFO - Starting election for term 1337
2025-03-27 23:51:25,072 - Node-3 - INFO - Starting election for term 1338
2025-03-27 23:51:25,379 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:25,384 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.CANDIDATE
2025-03-27 23:51:25,390 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:25,590 - Node-3 - INFO - Starting election for term 1339
2025-03-27 23:51:25,769 - Node-3 - INFO - Starting election for term 1340
2025-03-27 23:51:26,049 - Node-3 - INFO - Starting election for term 1341
2025-03-27 23:51:26,335 - Node-3 - INFO - Starting election for term 1342
2025-03-27 23:51:26,873 - Node-3 - INFO - Granted vote to node 4 for term 1343
2025-03-27 23:51:27,098 - Node-3 - INFO - Granted vote to node 4 for term 1344
2025-03-27 23:51:27,392 - Node-3 - INFO - Starting election for term 1345
